,Annual Income,Kids at Home,Teens at Home,Days as Customer,Customer Recency,Wine,Fruit,Meat,Fish,Sweets,Gold,Deals Purchased,Web Purchases,Catalog Purchases,Store Purchases,Monthly Web Visits,Cluster
74,28332.0,0,0,2671,58,14,10,13,4,15,9,1,2,1,4,2,1
75,40246.0,1,0,3168,68,2,1,6,2,1,1,1,1,0,2,6,1
76,75251.0,0,0,3282,34,721,111,925,97,18,18,1,7,6,5,5,2
77,75825.0,0,0,3236,40,1032,105,779,137,105,51,0,5,8,9,4,2
78,26326.0,0,0,2909,12,1,0,5,0,3,9,1,0,0,3,3,1
79,56046.0,0,0,3154,9,577,0,64,0,0,51,2,10,1,8,8,0
80,29760.0,1,0,3280,87,64,4,68,7,5,17,4,3,1,4,8,1
81,26304.0,1,0,2982,5,4,1,5,2,0,4,1,1,0,2,7,1
82,23559.0,1,0,2972,87,25,5,19,7,0,23,3,3,0,3,7,1
83,38620.0,0,0,3025,56,112,17,44,34,22,89,1,2,5,3,3,1
84,81361.0,0,0,2735,18,163,23,424,27,65,76,1,3,10,13,1,2
85,29440.0,1,1,2933,95,17,8,14,10,4,3,2,1,0,4,7,1
86,36138.0,1,1,2959,48,130,0,16,0,0,5,5,3,1,4,7,1
87,50388.0,0,1,2643,3,292,6,37,0,3,34,4,6,1,6,7,0
88,79593.0,0,0,2659,70,350,60,568,110,133,145,1,5,6,7,2,2
89,54178.0,0,1,2770,79,135,9,39,4,0,7,1,2,2,5,2,1
93,42394.0,1,0,2709,69,15,2,10,0,1,4,1,1,0,3,7,1
94,23626.0,1,0,2647,84,27,2,14,0,0,0,3,3,1,3,5,1
95,30096.0,1,0,2649,30,5,3,11,12,5,9,1,2,0,3,6,1
96,47916.0,0,1,3195,72,505,0,26,0,0,75,5,7,4,6,6,0
97,51813.0,1,1,3055,37,51,2,7,0,1,2,2,2,0,3,7,1
98,78497.0,0,0,2821,44,207,26,447,75,0,223,1,5,7,12,2,2
99,50150.0,0,0,2985,32,135,46,92,65,61,11,2,5,2,7,5,0
100,47823.0,0,1,2952,0,53,1,5,2,1,10,2,2,0,3,8,1
101,34554.0,0,1,2702,43,41,1,6,2,0,5,2,2,0,3,6,1
102,85693.0,0,1,3046,59,386,172,183,185,132,111,2,9,5,11,5,2
103,65846.0,0,0,3019,68,562,81,276,80,40,81,1,6,3,6,4,2
104,87195.0,0,0,2663,35,217,76,690,50,26,38,1,3,11,5,1,2
105,24594.0,1,0,2812,94,1,3,6,10,0,9,1,1,0,3,5,1
106,49096.0,1,1,2889,15,144,1,32,2,1,7,4,4,1,4,7,1
107,52413.0,0,2,3123,56,295,106,271,75,98,65,4,6,4,12,6,0
108,38557.0,1,0,3168,17,76,3,31,4,4,27,2,3,1,3,7,1
109,89058.0,0,0,3180,18,454,194,106,31,22,43,1,5,4,4,2,2
110,77298.0,0,1,2850,46,425,115,292,23,35,79,1,6,6,11,3,2
111,68126.0,0,0,3207,40,1332,17,311,23,51,86,1,7,4,5,9,0
112,57288.0,0,1,2615,27,527,0,21,0,0,60,3,8,1,8,6,0
113,86037.0,0,0,3154,95,490,44,125,29,20,22,1,6,7,11,3,2
114,43974.0,1,0,3175,19,378,0,101,0,0,72,5,6,4,6,7,0
115,50785.0,1,1,2903,27,64,1,21,0,1,27,2,2,1,3,6,1
116,90765.0,0,0,2767,25,547,99,812,151,82,33,0,4,6,5,1,2
117,36550.0,1,0,3106,74,47,90,94,123,103,120,5,9,1,5,9,0
118,30753.0,1,1,2964,85,12,5,25,0,9,30,2,1,1,3,5,1
119,21918.0,1,0,2838,37,1,6,7,11,5,3,2,2,0,3,6,1
120,56129.0,0,1,2985,65,320,48,133,39,72,48,4,6,2,10,4,0
121,32557.0,1,0,2736,13,34,3,29,0,4,10,3,2,1,3,5,1
122,19510.0,2,0,2909,63,9,0,7,3,4,7,2,1,0,3,7,1
123,30992.0,1,0,3044,83,17,0,14,7,3,2,1,1,0,3,7,1
124,101970.0,0,0,3085,69,722,27,102,44,72,168,0,6,8,13,2,2
125,71488.0,0,0,3107,87,162,33,124,40,28,172,2,3,4,7,1,2
126,79607.0,0,0,3045,37,450,133,951,173,0,216,1,3,6,6,1,2
127,54348.0,1,1,2632,51,70,0,16,0,0,4,2,2,0,4,6,1
129,77376.0,1,1,2661,72,492,19,110,16,12,12,4,6,3,10,4,0
130,62998.0,0,1,2883,10,120,58,73,65,89,58,5,5,4,5,5,0
131,61331.0,1,1,3087,42,534,5,47,0,5,41,5,11,1,6,8,0
132,73448.0,0,0,2750,10,236,106,189,23,41,130,1,7,2,9,4,2
134,41551.0,1,1,2930,51,220,0,33,3,0,23,5,5,1,5,8,1
135,62981.0,0,0,3080,21,796,14,590,38,44,0,1,4,5,13,3,2
136,9548.0,1,0,3301,31,0,1,3,10,6,9,2,1,0,3,8,1
137,33762.0,2,1,2968,61,53,1,34,2,0,16,3,2,2,2,8,1
138,35860.0,1,1,2652,37,15,0,8,4,2,20,2,1,1,2,5,1
139,36921.0,1,1,2947,74,17,1,12,3,1,4,2,2,0,3,7,1
140,92859.0,0,0,3229,46,962,61,921,52,61,20,1,5,4,12,2,2
141,65104.0,0,1,2838,4,738,0,232,13,20,50,2,3,5,7,7,0
142,86111.0,0,0,3047,73,399,28,756,36,40,126,1,5,7,10,2,2
143,68352.0,0,1,2916,47,614,16,132,43,33,33,3,8,5,9,6,0
144,41883.0,1,0,3078,13,32,34,41,73,16,116,3,4,2,3,7,1
145,59809.0,0,2,3230,36,598,16,141,32,41,49,3,3,3,6,8,0
146,23957.0,1,0,3220,47,2,1,18,20,11,16,1,2,0,3,6,1
147,38547.0,1,0,2916,49,6,1,10,0,1,4,1,1,0,2,8,1
148,35688.0,2,1,3287,94,73,3,90,12,1,32,7,4,1,4,8,1
149,49605.0,0,0,2619,65,42,16,29,12,20,8,1,2,1,4,3,1
150,59354.0,0,2,2677,59,295,21,78,39,13,13,1,4,4,7,3,0
151,65747.0,0,1,2725,96,346,17,48,23,13,13,4,8,1,6,6,0
152,46344.0,0,1,3173,28,233,20,57,8,20,91,4,7,1,5,7,0
153,34176.0,1,0,2659,12,5,7,24,19,14,20,4,3,0,4,6,1
154,61010.0,0,1,3239,57,888,0,57,0,0,76,2,8,5,11,5,0
155,69372.0,0,0,3106,10,997,26,269,34,13,42,1,10,4,6,4,0
156,49967.0,0,1,2967,4,212,6,69,4,12,3,3,6,1,5,7,0
157,60199.0,1,2,2901,49,8,1,7,2,0,0,1,0,0,3,4,1
158,55375.0,0,1,2866,3,42,11,57,10,28,14,1,1,1,6,2,1
159,80317.0,0,0,2924,64,536,11,387,149,91,57,1,3,4,10,1,2
160,30523.0,2,1,2974,0,5,0,3,0,0,5,1,1,0,2,7,1
161,70356.0,0,0,3212,20,1349,16,249,43,16,33,2,10,6,9,6,0
162,23228.0,1,0,2786,91,53,3,49,7,4,5,4,3,0,4,8,1
163,74165.0,0,0,3035,9,1001,12,240,16,12,12,1,5,4,10,2,2
164,157243.0,0,1,2731,98,20,2,1582,1,2,1,15,0,22,0,0,2
165,43482.0,2,1,2839,83,18,1,32,6,3,28,3,2,0,4,6,1
166,62551.0,0,0,2834,27,125,16,98,134,21,27,1,6,7,4,3,2
167,52332.0,0,0,2916,63,212,5,33,7,0,2,1,3,2,6,4,1
168,66951.0,0,0,2850,46,277,162,305,173,76,124,1,3,4,7,1,2
169,26091.0,1,1,2735,84,15,10,19,8,17,20,3,2,1,3,5,1
170,33456.0,1,1,2680,58,7,3,10,8,1,7,2,1,0,3,7,1
171,28718.0,1,0,2962,78,12,4,6,11,8,16,2,2,0,3,8,1
172,50447.0,2,0,2680,4,85,7,24,2,3,27,1,3,1,3,6,1
173,53537.0,1,1,2761,17,81,0,6,0,0,6,2,2,1,3,5,1
174,52074.0,0,1,2697,77,59,0,12,0,0,48,1,2,2,2,4,1
175,80427.0,0,1,3266,56,1149,71,449,69,71,26,1,11,8,8,5,2
176,83837.0,0,0,3171,79,847,66,119,86,89,111,1,9,10,5,4,2
177,38853.0,1,1,2648,90,29,0,14,0,0,2,2,2,0,3,7,1
178,38285.0,2,1,2616,96,2,0,5,2,0,1,1,0,0,3,2,1
179,78497.0,0,0,2821,44,207,26,447,75,0,223,1,5,7,12,2,2
180,51650.0,0,1,2660,81,152,3,22,2,5,7,1,4,1,4,5,1
181,16248.0,1,0,2661,77,12,11,10,3,12,9,3,2,1,3,6,1
182,66835.0,0,0,2885,21,620,26,195,34,17,141,1,6,4,13,2,2
183,30477.0,1,0,2769,16,47,1,6,0,0,12,1,1,1,3,6,1
184,28249.0,0,0,2625,80,1,9,7,2,14,10,1,2,0,3,6,1
185,25271.0,1,0,3182,45,10,1,18,10,4,7,1,1,1,2,9,1
186,32303.0,0,1,2724,63,35,0,2,0,0,2,2,1,0,4,5,1
187,61286.0,0,1,2942,34,356,0,107,19,9,117,2,7,1,8,5,0
188,74068.0,0,0,3078,14,783,30,537,140,76,15,1,4,10,9,2,2
189,45759.0,1,1,3102,13,42,1,18,3,0,4,2,2,0,3,7,1
190,24882.0,1,0,3269,52,1,4,10,29,0,36,1,1,1,2,6,1
191,66973.0,0,0,3019,98,466,22,432,147,113,102,1,8,7,12,3,2
192,36640.0,1,0,2887,99,15,6,8,7,4,25,1,2,1,2,5,1
193,38872.0,1,0,3006,93,23,3,21,3,19,22,2,3,0,3,8,1
194,51148.0,1,1,3107,38,235,6,45,8,9,12,4,5,1,6,6,1
195,31353.0,1,1,2793,24,10,0,10,3,1,7,2,1,1,2,8,1
196,69661.0,0,0,2658,80,656,16,106,32,16,8,1,7,3,12,3,0
197,80067.0,0,0,2894,82,519,17,813,27,173,51,1,4,6,6,2,2
198,86718.0,0,0,3139,20,344,189,482,50,33,172,1,5,6,5,2,2
199,46854.0,1,1,2701,81,96,1,79,7,1,79,6,5,1,3,8,1
200,69142.0,0,1,2611,50,448,4,34,6,4,39,3,8,1,7,5,0
201,75922.0,0,0,2813,60,265,138,553,224,23,92,1,4,4,9,1,2
202,63693.0,0,1,2869,63,587,43,337,42,87,54,3,11,6,9,6,0
203,102160.0,0,0,3215,54,763,29,138,76,176,58,0,7,9,10,4,2
204,40637.0,1,1,2958,72,22,0,13,0,0,3,2,1,0,3,7,1
205,18890.0,0,0,3207,5,6,4,1,7,2,15,1,0,1,2,6,1
206,29604.0,1,0,2814,88,7,6,13,7,6,14,1,1,0,3,9,1
207,48721.0,1,1,3023,50,81,18,113,47,13,21,6,4,2,5,6,0
208,44794.0,0,1,2632,99,54,0,7,0,0,4,1,2,0,3,6,1
209,64497.0,0,1,3268,17,1170,48,320,42,32,192,5,11,4,9,8,0
210,46097.0,0,1,3066,11,72,24,68,65,4,8,5,3,1,6,4,0
211,77972.0,0,0,2714,18,613,22,319,33,102,12,1,4,6,9,1,2
212,44377.0,1,1,3243,70,224,0,30,0,0,10,8,5,1,5,8,0
213,46014.0,1,1,3135,21,410,0,59,19,9,44,10,7,1,8,7,0
214,70951.0,0,0,3032,66,239,10,554,254,87,54,1,3,4,9,1,2
215,41443.0,1,0,2700,79,171,7,171,25,19,89,6,8,1,5,8,0
216,52195.0,2,1,2659,2,12,0,4,0,0,1,1,1,0,2,8,1
217,83790.0,0,0,2837,81,1076,16,417,42,48,16,1,8,10,6,3,2
218,44551.0,0,1,2913,24,182,4,33,0,0,66,2,4,1,5,7,0
219,69508.0,1,0,3203,48,824,32,162,42,32,43,2,11,4,11,6,0
220,45204.0,1,0,2690,93,30,11,25,29,1,18,1,1,1,4,3,1
221,72460.0,0,0,2838,56,377,10,540,80,30,10,1,3,5,7,1,2
222,77622.0,0,2,2687,3,520,7,154,19,0,14,2,6,3,11,3,0
223,30732.0,1,0,3151,44,155,1,25,0,1,3,4,4,1,4,8,1
224,63887.0,0,1,3270,38,897,23,207,15,11,92,5,9,6,12,6,0
225,42011.0,1,0,3071,46,131,0,16,2,1,39,4,3,1,4,8,1
226,51369.0,0,1,3223,84,297,7,79,0,11,182,2,8,2,4,8,0
227,51537.0,0,1,3178,27,787,20,204,0,0,92,3,2,2,11,8,0
228,79930.0,0,0,3301,72,792,86,740,67,51,17,1,3,5,8,2,2
229,34320.0,1,0,2744,66,4,1,9,3,0,0,1,1,0,2,8,1
230,37070.0,1,1,3077,30,231,7,137,4,15,39,9,5,1,8,7,0
231,81975.0,0,1,3151,2,983,76,184,180,138,27,1,6,3,4,7,2
232,38590.0,1,0,3021,65,3,1,8,4,3,3,1,1,0,2,8,1
233,15033.0,0,0,2685,37,0,4,5,6,0,4,1,1,0,3,3,1
234,62745.0,0,1,3074,89,562,21,464,28,10,32,3,7,8,11,5,0
235,22212.0,1,0,2813,49,5,9,20,6,8,21,2,2,0,4,6,1
236,23661.0,1,0,2818,46,18,0,4,0,0,1,1,1,0,3,7,1
237,79761.0,0,1,2879,32,415,5,124,15,35,11,1,5,2,11,3,0
238,7500.0,1,0,2796,54,5,3,10,12,7,20,4,3,1,3,7,1
239,60182.0,0,1,2654,23,8,0,5,7,0,2,1,1,0,2,4,1
240,73455.0,0,0,2855,98,901,61,757,186,163,20,1,6,5,10,3,2
241,64961.0,0,1,3164,97,382,114,276,75,124,38,2,6,4,4,3,2
242,22804.0,1,0,2944,75,14,1,7,2,1,1,1,2,0,2,9,1
243,73687.0,0,0,2824,8,559,153,503,218,13,181,1,3,9,9,2,2
244,61074.0,0,1,3292,37,789,0,133,0,28,152,7,11,5,8,7,0
245,31686.0,1,1,2635,31,11,0,5,0,0,1,2,1,0,3,6,1
246,80134.0,1,0,3016,40,1218,16,272,104,0,80,2,5,3,6,6,2
247,75027.0,0,1,3147,74,925,64,179,133,12,77,2,9,4,6,5,0
248,67546.0,0,0,3278,90,864,134,768,150,38,172,1,4,10,5,3,2
249,65176.0,0,1,3219,57,960,28,183,220,70,70,4,9,6,6,6,2
250,31160.0,1,0,2897,59,16,3,25,6,1,13,2,2,0,3,8,1
251,29938.0,1,0,2856,52,3,3,7,0,2,11,2,1,0,3,6,1
252,102692.0,0,0,3061,5,168,148,444,32,172,148,1,6,9,13,2,2
253,26490.0,0,0,3256,92,45,47,52,21,20,25,2,3,1,5,6,1
254,75702.0,1,1,3280,77,650,28,353,45,42,30,5,4,6,11,8,0
255,30899.0,1,0,3235,35,24,0,8,0,0,1,2,1,0,3,6,1
256,63342.0,0,1,3232,48,918,21,118,13,10,21,3,8,3,5,6,0
257,45989.0,0,1,3226,97,138,33,87,28,24,12,4,3,2,7,3,0
258,18701.0,1,1,3001,95,12,4,2,10,6,10,4,2,0,4,5,1
259,40737.0,2,1,2814,24,11,0,4,0,0,2,1,1,0,2,8,1
260,15287.0,1,0,3238,60,1,2,8,4,3,13,2,1,1,2,7,1
261,69674.0,0,2,3014,46,554,41,215,11,0,24,3,10,2,10,5,0
262,44159.0,1,0,2623,85,167,2,62,24,13,7,4,4,1,6,5,1
263,37717.0,1,0,3194,31,9,0,6,4,1,5,1,1,0,2,9,1
264,43776.0,1,1,3122,9,177,2,71,3,2,20,6,5,2,4,8,0
265,38179.0,1,1,3083,30,38,4,22,4,2,20,4,3,1,3,7,1
266,80124.0,0,0,2614,47,483,84,398,205,84,241,1,3,7,8,1,2
267,38097.0,1,1,3233,70,77,2,35,0,1,69,4,3,2,2,7,1
268,72940.0,0,0,2986,13,182,74,298,162,149,116,1,3,3,6,1,2
269,22070.0,1,0,2879,11,10,7,19,8,2,21,2,2,2,2,6,1
270,69267.0,0,0,3256,31,778,44,499,95,73,146,2,3,4,5,7,2
271,31788.0,1,0,2712,15,16,7,23,0,8,6,3,3,0,4,5,1
272,61905.0,0,1,2756,2,167,0,43,6,2,13,2,4,2,4,5,1
273,29315.0,1,1,2695,55,13,2,14,8,7,4,4,2,0,4,6,1
274,33378.0,1,1,3119,38,33,6,40,3,7,10,3,2,0,4,7,1
275,66313.0,0,1,2897,86,625,7,99,10,22,7,2,6,3,12,4,0
276,60714.0,0,0,3139,56,216,162,224,101,92,162,2,7,4,10,5,2
277,77882.0,0,0,2671,29,68,129,396,188,22,15,1,3,3,5,1,2
278,69867.0,0,0,3064,30,196,0,512,33,130,54,1,3,5,8,1,2
279,63841.0,0,1,3045,64,635,15,100,20,7,131,1,9,3,9,6,0
280,24480.0,1,0,3114,46,4,19,9,28,25,17,3,3,0,4,7,1
281,51369.0,0,1,3223,84,297,7,79,0,11,182,2,8,2,4,8,0
282,37760.0,0,0,3278,20,84,5,38,150,12,28,2,4,1,6,7,0
283,65640.0,0,1,2731,74,204,7,149,20,15,66,1,5,1,8,2,0
284,44319.0,1,1,2684,18,26,0,8,0,0,3,2,2,0,3,5,1
285,30631.0,1,0,2963,75,15,6,20,4,5,20,1,3,1,2,7,1
286,75278.0,0,0,3127,17,304,98,230,150,74,74,1,6,3,13,3,2
287,50898.0,1,1,3148,88,285,28,242,55,114,135,13,6,2,12,5,0
288,79946.0,0,0,2659,19,395,183,565,166,141,28,1,5,11,5,3,2
289,35416.0,0,0,2992,62,248,3,81,4,3,51,3,7,1,5,8,0
290,32414.0,0,0,2971,11,20,6,5,0,9,12,1,1,0,3,7,1
291,38361.0,1,0,2795,74,39,0,56,20,8,14,3,3,1,3,7,1
292,82497.0,0,0,3217,32,777,129,573,216,21,203,1,2,7,9,4,2
293,16626.0,2,0,2776,76,8,3,22,21,1,13,3,3,0,3,9,1
294,29672.0,1,1,3085,6,9,1,3,0,4,8,1,0,0,3,6,1
295,55951.0,0,1,3286,62,1241,0,80,0,13,40,3,3,6,11,8,0
296,35388.0,1,0,3090,20,6,4,7,4,3,8,1,1,0,3,7,1
297,42386.0,1,0,3143,43,65,4,16,0,4,11,1,3,0,3,8,1
298,68627.0,0,0,3144,45,395,15,263,60,54,38,1,2,3,6,1,2
299,57912.0,0,1,2715,34,801,0,80,0,0,35,5,8,3,12,5,0
300,35246.0,1,1,2685,53,36,0,12,2,2,10,4,3,1,3,5,1
301,58821.0,0,1,2871,44,513,14,154,19,0,28,1,9,2,9,6,0
302,46377.0,1,0,2731,89,37,0,46,4,3,0,1,2,1,3,4,1
303,39747.0,1,0,2688,43,80,15,93,20,13,52,3,5,1,4,8,1
304,23976.0,1,0,2795,68,14,1,21,2,3,25,3,3,1,3,7,1
305,80950.0,0,0,3069,44,525,147,112,219,147,63,1,6,7,9,2,2
306,27038.0,0,0,3260,64,1,26,25,17,23,15,1,3,0,3,9,1
307,77457.0,0,0,2727,85,675,11,400,15,45,11,1,2,5,10,1,2
308,64100.0,0,1,2903,93,509,0,27,0,0,10,1,8,3,6,7,0
309,42670.0,0,0,3039,12,154,2,46,20,4,15,1,4,2,4,4,1
310,12571.0,1,0,2773,86,3,5,14,2,12,17,4,3,1,3,6,1
311,22574.0,2,1,2855,28,25,0,8,2,0,2,2,2,0,3,7,1
313,70893.0,0,0,3119,42,768,44,561,77,44,14,1,6,6,10,3,2
314,54198.0,1,1,2805,13,185,0,28,3,2,17,6,3,1,6,4,1
315,28839.0,1,1,2721,86,24,0,7,0,0,1,2,2,0,3,5,1
316,40321.0,1,1,2946,59,44,4,21,6,0,27,2,3,0,3,7,1
317,66503.0,1,0,3295,30,91,64,128,65,3,50,2,4,3,6,3,1
318,30833.0,1,1,2959,33,11,0,7,3,1,6,2,1,0,3,5,1
320,64795.0,0,1,3139,23,412,5,119,38,29,77,3,3,3,12,2,0
321,34421.0,1,0,2974,81,3,3,7,6,2,9,1,1,0,2,7,1
322,47025.0,1,1,2751,6,16,0,3,0,0,1,1,1,0,2,7,1
323,64325.0,0,1,3118,41,731,60,353,78,12,73,5,10,3,5,7,0
324,40464.0,0,1,3145,78,424,17,118,7,23,41,6,8,2,8,8,0
325,62187.0,0,0,2970,49,792,0,275,45,45,126,1,4,8,5,3,2
326,14849.0,1,0,2973,39,21,2,28,3,2,9,3,2,0,4,8,1
327,27255.0,1,0,2845,3,22,1,11,0,1,2,1,1,0,3,7,1
328,54432.0,2,1,3027,37,33,0,5,0,0,0,1,1,0,3,4,1
329,29999.0,1,0,3112,22,68,7,59,10,5,11,4,3,1,4,8,1
330,24072.0,1,0,3050,79,9,1,6,3,0,4,1,1,0,2,8,1
331,33996.0,0,0,2902,46,40,2,15,8,0,6,1,1,1,3,4,1
332,66334.0,0,1,3063,82,909,11,218,0,0,23,2,9,3,5,5,0
333,35178.0,1,0,3146,10,23,1,13,2,2,18,1,1,1,2,7,1
334,22010.0,1,0,2975,51,11,2,9,3,0,8,2,2,0,3,8,1
335,62204.0,0,2,3266,38,317,46,247,151,46,139,1,4,5,12,3,0
336,75693.0,0,0,3181,10,797,153,293,72,97,30,1,11,4,6,4,2
337,30675.0,1,0,3205,14,10,2,16,11,2,21,1,1,0,3,8,1
338,83003.0,0,0,3094,18,856,61,570,40,25,122,1,7,6,8,3,2
339,83532.0,0,0,2887,36,755,144,562,104,64,224,1,4,6,4,1,2
340,68655.0,0,0,3299,95,456,19,832,75,118,38,1,4,5,11,3,2
341,41411.0,0,0,2815,11,37,32,38,11,3,18,1,2,1,4,6,1
342,55212.0,0,1,3194,65,1103,0,45,0,0,34,3,4,2,11,8,0
343,59292.0,0,1,2992,71,378,14,68,19,14,14,2,3,5,8,3,0
344,27190.0,1,0,2929,13,1,6,7,0,1,3,1,1,0,2,8,1
345,82623.0,0,0,2842,58,204,34,204,172,153,173,1,2,9,4,1,2
346,44300.0,1,1,2982,65,30,0,9,0,0,3,2,1,0,3,6,1
347,84835.0,0,0,2624,0,189,104,379,111,189,218,1,4,4,6,1,2
348,30372.0,1,1,3162,33,15,0,12,7,3,7,3,2,0,3,7,1
349,33181.0,1,0,2788,90,9,0,3,0,0,4,1,1,0,2,6,1
350,71113.0,0,1,2805,95,495,33,255,11,33,8,4,6,7,9,4,0
351,71952.0,1,0,3146,93,656,80,455,52,107,93,2,8,4,8,4,2
352,69759.0,0,0,2855,38,452,20,514,13,30,0,3,4,6,5,3,2
353,72099.0,0,0,3221,18,546,91,410,119,0,22,1,3,4,10,1,2
354,60000.0,0,1,3165,57,1048,0,217,0,0,12,5,11,3,5,6,0
355,38643.0,1,1,2823,45,22,2,14,0,1,10,2,2,0,3,7,1
356,50737.0,0,1,3025,61,78,0,11,0,0,10,1,2,0,4,6,1
